sport,event_id,commence_time,team1,team2,teams_label,bookmaker,team1_odds,team2_odds,team1_prob,team2_prob,team1_prob_norm,team2_prob_norm,market_prob,model_prob,sentiment_score,sentiment_score_norm,discrepancy,inefficiency_score,news_headlines,ingestion_ts,last_updated
americanfootball_nfl,cc60225b5a907bd9ba7c27c23131fc5c,2025-11-16T21:25:00Z,Baltimore Ravens,Cleveland Browns,Baltimore Ravens vs Cleveland Browns,DraftKings,1.26,4.0,0.7936507936507936,0.25,0.7604562737642586,0.2395437262357415,0.7604562737642586,0.5,0.0,0.5,0.2604562737642586,0.7604562737642586,,2025-11-09T10:27:03.654705+00:00,2025-11-09T10:27:03.654705+00:00
americanfootball_nfl,96ce7785b0980b03282c7e10d4c58d4a,2025-11-16T21:25:00Z,Denver Broncos,Kansas City Chiefs,Denver Broncos vs Kansas City Chiefs,DraftKings,2.42,1.59,0.4132231404958678,0.6289308176100629,0.39650872817955113,0.6034912718204488,0.39650872817955113,0.5,0.0,0.5,0.10349127182044887,0.6034912718204488,,2025-11-09T10:27:13.381611+00:00,2025-11-09T10:27:13.381611+00:00
americanfootball_nfl,6d209e0e637f3b116ec958e0634f2a02,2025-11-17T01:20:00Z,Detroit Lions,Philadelphia Eagles,Detroit Lions vs Philadelphia Eagles,DraftKings,2.05,1.8,0.48780487804878053,0.5555555555555556,0.4675324675324676,0.5324675324675325,0.4675324675324676,0.5,0.0,0.5,0.03246753246753242,0.5324675324675324,,2025-11-09T10:27:22.959545+00:00,2025-11-09T10:27:22.959545+00:00
americanfootball_nfl,80d04ba917883a6438580ebae9fb0f22,2025-11-18T01:15:00Z,Dallas Cowboys,Las Vegas Raiders,Dallas Cowboys vs Las Vegas Raiders,DraftKings,1.59,2.42,0.6289308176100629,0.4132231404958678,0.6034912718204488,0.39650872817955113,0.6034912718204488,0.5,0.0,0.5,0.10349127182044882,0.6034912718204488,,2025-11-09T10:27:32.979693+00:00,2025-11-09T10:27:32.979693+00:00
basketball_nba,e1126435bd892fdc20b81dc1a286a11d,2025-11-09T20:30:00Z,Houston Rockets,Milwaukee Bucks,Houston Rockets vs Milwaukee Bucks,DraftKings,1.6,2.4,0.625,0.4166666666666667,0.6,0.39999999999999997,0.6,0.5,0.0,0.5,0.09999999999999998,0.6,,2025-11-09T10:27:42.048091+00:00,2025-11-09T10:27:42.048091+00:00
basketball_nba,60e92f0ebd0d4d4dd4e206c259b1198c,2025-11-09T23:00:00Z,Brooklyn Nets,New York Knicks,Brooklyn Nets vs New York Knicks,DraftKings,8.5,1.08,0.11764705882352941,0.9259259259259258,0.1127348643006263,0.8872651356993737,0.1127348643006263,0.5,0.0,0.5,0.3872651356993737,0.8872651356993737,,2025-11-09T10:27:51.442093+00:00,2025-11-09T10:27:51.442093+00:00
basketball_nba,ecdb0c72077ab263b31b45332b731195,2025-11-09T23:10:00Z,Boston Celtics,Orlando Magic,Boston Celtics vs Orlando Magic,FanDuel,2.26,1.68,0.4424778761061947,0.5952380952380952,0.4263959390862945,0.5736040609137056,0.4263959390862945,0.5,0.0,0.5,0.07360406091370553,0.5736040609137055,,2025-11-09T10:28:00.865476+00:00,2025-11-09T10:28:00.865476+00:00
basketball_nba,563e1ce28fbf2a9fdd4cda9c12861ea6,2025-11-09T23:10:00Z,Memphis Grizzlies,Oklahoma City Thunder,Memphis Grizzlies vs Oklahoma City Thunder,FanDuel,5.2,1.18,0.1923076923076923,0.8474576271186441,0.1849529780564263,0.8150470219435736,0.1849529780564263,0.5,0.0,0.5,0.3150470219435737,0.8150470219435737,,2025-11-09T10:28:10.188789+00:00,2025-11-09T10:28:10.188789+00:00
basketball_nba,f2720b00d74d6e545c3dbbccee08d0f0,2025-11-10T00:30:00Z,Detroit Pistons,Philadelphia 76ers,Detroit Pistons vs Philadelphia 76ers,DraftKings,1.62,2.36,0.6172839506172839,0.42372881355932207,0.5929648241206029,0.40703517587939697,0.5929648241206029,0.5,0.0,0.5,0.09296482412060292,0.5929648241206029,,2025-11-09T10:28:19.737885+00:00,2025-11-09T10:28:19.737885+00:00
basketball_nba,897d0135a47621fb920d0e9b7131026e,2025-11-10T01:40:00Z,Golden State Warriors,Indiana Pacers,Golden State Warriors vs Indiana Pacers,FanDuel,1.15,5.9,0.8695652173913044,0.1694915254237288,0.8368794326241135,0.1631205673758865,0.8368794326241135,0.5,0.0,0.5,0.33687943262411346,0.8368794326241135,,2025-11-09T10:28:29.131134+00:00,2025-11-09T10:28:29.131134+00:00
basketball_nba,02ea5bff59e1d511ffeefcb8593d74a0,2025-11-10T02:10:00Z,Minnesota Timberwolves,Sacramento Kings,Minnesota Timberwolves vs Sacramento Kings,FanDuel,1.43,2.9,0.6993006993006994,0.3448275862068966,0.6697459584295612,0.3302540415704388,0.6697459584295612,0.5,0.0,0.5,0.1697459584295612,0.6697459584295612,,2025-11-09T10:28:38.056813+00:00,2025-11-09T10:28:38.056813+00:00
basketball_nba,f557c9173a46a3c7c87afb4bd68f6644,2025-12-25T17:00:00Z,Cleveland Cavaliers,New York Knicks,Cleveland Cavaliers vs New York Knicks,BetRivers,2.17,1.7,0.4608294930875576,0.5882352941176471,0.43927648578811374,0.5607235142118864,0.43927648578811374,0.5,0.0,0.5,0.060723514211886265,0.5607235142118863,,2025-11-09T10:28:47.679761+00:00,2025-11-09T10:28:47.679761+00:00
